this	dd1
organization	nn1
that	cst_dd1
would	vm
be	vbi
available	jj
to	to
provide	vvi
assistance	nn1
and	cc
advice	nn1
in	ii
start	vvg
a	at1
business	nn1
.	y
g.-a	np1
 	np1
,	y
aurora	np1
a	zz1
--	zz
you	ppy
be	vbr
in	ii
luck	nn1
.	y
a	at1_zz1
local	jj
chapter	nn1
 	nn1
2891	mc
of	io
the	at
organization	nn1
you	ppy
be	vbr
look	vvg
for	if
be	vbz
locate	vvn
right	rr_nn1
in	ii
aurora	np1
.	y
it	pph1
be	vbz
the	at
service	nn1
corps	nn
of	io
retire	jj
executive	nn2
score	vv0
,	y
the	at
very	rg
successful	jj
program	nn1
start	vvd_vvn@
by	ii
the	at
small	jj@_np1
business	nn1
administration	nn1
in	ii
1964	mc
.	y
it	pph1
work	vvz
just	rr
as	csa
you	ppy
describe	vvd_vvn
.	y
former	da
businessman	nn2
volunteer	vv0
some	dd
of	io
their	appge
retirement	nn1
time	nnt1
to	to
provide	vvi
management	nn1
counsel	nn1
'	ge
ing	nn1@_jj@
.	y
the	at
aurora	np1
chapter	nn1
be	vbz
sponsor	vvn
by	ii
the	at
great	np1_jjr
aurora	np1
chamber	nn1
of	io
commerce	nn1
,	y
which	ddq
provide	vvz
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
,	y
stop	vv0_nn1
in	ii
the	at
office	nn1
at	ii
40	mc
 	np1
downer	np1
 	np1
,	y
aurora	np1
,	y
any	rr%_dd
wednesday	npd1
or	cc
thursday	npd1
between	ii
the	at
hour	nnt2
of	io
9	mc
a.m.-that	ra
and	cc
noon	nnt1
and	cc
complete	vv0
an	at1
application	nn1
form	nn1
.	y
q	zz1_np1@
--	zz
after	ii_cs
prohibition	nn1
be	vbdz
repeal	vvn
,	y
i	ppis1
remember	vv0
 	vv0
ing	vvg
a	at1
picture	nn1
of	io
a	at1
mountain	nn1
of	io
beer	nn1
case	nn2
be	vbg
take	vvn
down	rp
at	ii
a	at1
brewery	nn1
that	cst_dd1
be	vbdz
prepare	vvg
to	to
reopen	vvi
.	y
can	vm_vv0%
you	ppy
find	vvi
the	at
picture	nn1
and	cc
give	vvi
the	at
detail	nn2
?	y
j.-a	np1
p.-a	np1
,	y
berwyn	np1
a	zz1
--	zz
in	ii
february	npm1
,	y
1933	mc
,	y
the	at
 	np1
s.-a	np1
senate	nn1
and	cc
house	nn1
adopt	vvd_vvn
a	at1
joint	jj
resolution	nn1
call	vvg
for	if
the	at
21st	md
amend	vv0
,	y
ment	nn1
to	ii
the	at
constitution	nn1
that	cst_dd1
would	vm
repeal	vvi
the	at
18th	md
amendment	nn1
the	at
prohibition	nn1
amendment	nn1
.	y
one	mc1
month	nnt1
later	rrr
,	y
a	at1
photographer	nn1
take	vvd
several	da2
picture	nn2
of	io
busy	jj
,	y
worker	nn2
at	ii
the	at
 	jj_nn1
brewery	nn1
,	y
1900	mc
 	nnu@
18th	md
 	np1
in	np1
the	at
one	pn1
we	ppis2
be	vbr
reprint	vvg
,	y
two	mc
worker	nn2
be	vbr
show	vvn
t	zz1
,	y
polish	vvg@_nn1
off	rp_ii
bottle	nn2
of	io
that	dd1
nasty	jj
near-beer	jj_nn1
stuff	nn1
in	ii31
front	ii32
of	ii33
a	at1
mountain	nn1
of	io
case	nn2
the	at
brewery	nn1
be	vbz
rush	vvg
to	to
fill	vvi
with	iw
the	at
real	jj
stuff	nn1
.	y
actually	rr
,	y
they	pphs2
do	vdd
not	xx
have	vhi
to	to
hurry	vvi
.	y
the	at
repeal	nn1
amendment	nn1
do	vdd
not	xx
become	vvi
law	nn1
until	cs_ii@
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
the	at
,	y
 	jj_np1
brewery	nn1
employee	nn2_vvz
finish	vvg
off	rp
 	jj_nn1
i	zz1%_ppis1
tie	nn2_vvz
of	io
near-beer	nn1_jj
before	ii
attack	vvg
a	at1
mountain	nn1
of	io
case	nn2
that	cst
be	vbdr
to	to
be	vbi
fill	vvn
with	iw
real	jj
beer	nn1
at	ii
the	at
end	nn1
of	io
prohibition	nn1
in	ii
 	mc
i	mc1_zz1
amendment	nn1
on	ii
 	npm1
5	mc
,	y
1933	mc
.	y
we	ppis2
will	vm
wager	vvi
that	cst
the	at
mountain	nn1
of	io
beer	nn1
case	nn2
and	cc
other	nn2
like	ii_vv0@
them	ppho2
around	ii_rp
the	at
country	nn1
disappear	vvd_vvn@
in	ii
delivery	nn1
truck	nn2
the	at
very	rg
next	md
day	nnt1
.	y
after	ii
all	db
,	y
it	pph1
have	vhd
be	vbn
almost	rr
14	mc
year	nnt2
of	io
dry	jj
throat	nn2
for	if
those	dd2
who	pnqs
abide	vvd
by	ii
the	at
law	nn1
.	y
q	zz1_np1@
--	zz
in	ii
july	npm1
,	y
i	ppis1
order	vvd
and	cc
pay	vvn_vvd
for	if
three	mc
 	jj
gun	nn2
from	ii
elan	np1
product	nn2
corp	nn1
.	y
in	ii
lynbrook	np1
,	y
 	np1
 	np1
i	ppis1
wait	vvd
over	rg
two	mc
and	cc
one-half	mf
month	nnt2
for	if
the	at
merchandise	nn1
before	ii
write	vvg
the	at
company	nn1
and	cc
complain	vvg
.	y
i	ppis1
think	vvd
that	dd1
be	vbdz
sufficient	jj
time	nnt1
for	if
delivery	nn1
,	y
as	csa
i	ppis1
use	vvd
money	nn1
order	nn2
.	y
i	ppis1
still	rr
have	vh0
n't	xx
receive	vvn
the	at
gun	nn2
or	cc
a	at1
refund	nn1
.	y
would	vm
you	ppy
please	rr
see	vvi
what.you	nnu
can	vm
do	vdi
about	ii
this	dd1
?	y
carol	np1
baumann	np1
,	y
northlake	np1_vv0@
a	zz1
--	zz
elan	nn1@_np1
product	nn2
tell	vvz
us	ppio2
that	cst
it	pph1
finally	rr
have	vhz
refund	vvn
your	appge
money	nn1
.	y
sound	vv0@
off	rp
in	ii31
answer	ii32
to	ii33
a	at1
recent	jj
sound	nn1
off	rp
by	ii
mrs.-	nnb
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
company	nn2
send	vvg
return	nn1_jj@
envelope	nn2
with	iw
bill	nn2
each	dd1
month	nnt1
when	rrq_cs
she	pphs1
pay	vvz
her	appge
bill	nn2
at	ii
a	at1
local	jj
collection	nn1
point	nn1
.	y
she	pphs1
think	vvz
the	at
company	nn2
should	vm
give	vvi
customer	nn2
the	at
option	nn1
as	ii21
to	ii22
whether	csw
the	at
envelope	nn2
be	vbr
need	vvn
and	cc
think	vvz
this	dd1
would	vm
save	vvi
money	nn1
.	y
in	ii
the	at
meantime	nnt1
,	y
"	"
mrs.-	nnb
c.-a	np1
 	mc
say	vvd
,	y
"	"
i	ppis1
be	vbm
too	rg
scottish	jj
to	to
throw	vvi
away	rl
the	at
stack	nn2
of	io
return	nn1_jj@
envelope	nn2
i	ppis1
have	vh0
accumulate	vvn
over	ii_rp
the	at
past	jj_nn1
couple	nn1
of	io
year	nnt2
"	"
personally	rr
,	y
i	ppis1
be	vbm
happy	jj
to	to
receive	vvi
the	at
return	nn1_jj@
envelope	nn2
and	cc
wish	vvi
blue	jj
cross/blue	jj_nn1
shield	nn1
would	vm
follow	vvi
suit	nn1
.	y
i	ppis1
have	vh0
write	vvn
the	at
company	nn1
but	ccb
i	ppis1
have	vh0
not	xx
receive	vvn
any	dd
return	nn1_jj@
envelope	nn2
.	y
i	ppis1
be	vbm
an	at1
81-year-old	jj
lady	nn1
and	cc
i	ppis1
do	vd0
n't	xx
have	vhi
any	dd
transportation	nn1
.	y
mrs.-	nnb
c.-a	np1
il	fw
could	vm
send	vvi
the	at
envelope	nn2
back	rp
to	ii
the	at
company	nn1
if	cs
she	pphs1
do	vdz
n't	xx
like	vvi
them	ppho2
.	y
action	nn1
line	nn1
answer	vvz
question	nn2
,	y
solve	vvz
problem	nn2
and	cc
cut	vvz_nn2
red	jj
tape	nn1
.	y
we	ppis2
can	vm
not	xx
,	y
however	rr
,	y
appraise	nn1_vv0
or	cc
shop	nn1_vv0@
for	if
item	nn2
.	y
you	ppy
may	vm
write	vvi
us	ppio2
at	ii
435	mc
 	np1_nnu
michigan	np1
 	nn1
,	y
chicago	np1
,	y
 	np1
60611	mc
.	y
include	vv0
your	appge
telephone	nn1
number	nn1
and	cc
two	mc
envelope	nn2
,	y
one	mc1
 	nn1_jj
?	y
dress	vvd@
to	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
yourself	ppx1
.	y
##	fo
tuesday	npd1
,	y
this	dd1
city	nn1
collapse	vvn_vvd
before	ii_cs
hanoi	np1
'	ge
s	zz1
army	nn1
and	cc
its	appge
local	jj
ally	nn2
,	y
the	at
 	np1
//	vv0_nn1_jj
nguyen	np1
van	np1
tang	np1
be	vbdz
a	at1
vietcong	np1
.	y
now	rt
a	at1
54-year-old	jj
colonel	nn1
in	ii
the	at
vietnamese	jj
army	nn1
,	y
he	pphs1
talk	vvd
today	rt
about	ii
how	rrq
he	pphs1
have	vhd
work	vvn
as	ii
a	at1
plumber	nn1
and	cc
a	at1
house	nn1
painter	nn1
to	to
study	vvi
potential	jj_nn1
bomb	nn1
target	nn2
in	ii
the	at
 	nnu
//	nn1_jj_vv0
 	nnb
dieu	np1
dan	np1
 	np1
,	y
60	mc
,	y
drive	vvd
a	at1
cyclo	nn1
,	y
or	cc
pedicab	nn1_vv0
,	y
as	csa
cover	nn1
for	if
his	appge
intelligence-gathering	jj_nn1
work	nn1
.	y
lieut	vv0_nn1_np1@
.	y
 	nnb
doung	np1
long	rr
sing	vv0
,	y
who	pnqs
say	vvd
he	pphs1
be	vbdz
responsible	jj
for	if
plan	vvg
many	da2
attack	nn2
in	ii
the	at
city	nn1
,	y
also	rr
bring	vvn_vvd
in	ii
the	at
explosive	nn2
by	ii
public	jj_nn1
transportation	nn1
.	y
 	null
 	null
a	at1
sense	nn1
of	io
exploitation	nn1
//	nn1_jj_vv0
story	nn2
of	io
these	dd2
and	cc
other	jj
"	"
hero	nn2
and	cc
heroine	nn2
of	io
the	at
revolution	nn1
"	"
that	cst
meet	vvd
reporter	nn2
at	ii
the	at
headquarters	nn
of	io
the	at
city	nn1
'	ge
s	zz1
military	jj
command	nn1
draw	vvd
a	at1
profile	nn1
of	io
the	at
vietnamese	jj
insurgent	nn1
.	y
all	db_rr@
say	vvd
they	pphs2
be	vbdr
recruit	vvn
while	cs
still	rr
in	ii
their	appge
teen	nn2
.	y
all	db_rr@
have	vhd
feel	vvn
some	dd
sense	nn1
of	io
exploitation	nn1
,	y
they	pphs2
say	vvd
,	y
often	rr
by	ii
french	jj_nn1
colonizer	nn2
of	io
vietnam	np1
,	y
who	pnqs
,	y
they	pphs2
say	vvd
,	y
deny	vvd
them	ppho2
education	nn1
and	cc
a	at1
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
,	y
say	vvd
she	pphs1
join	vvd
the	at
insurrection	nn1
at	ii
13	mc
because	cs
some	dd
of	io
her	appge
friend	nn2
have	vhd
be	vbn
"	"
rape	vvn
by	ii
 	nn1
'	ge
s.-a	nnu
"	"
 	vv0
the	at
old	jjr
officer	nn2
speak	vvd
with	iw
amusement	nn1
at	ii
the	at
memory	nn1
of	io
their	appge
specialty	nn1
-	-
infiltrate	vvg
,	y
according	ii21
to	ii22
colonel	nn1
sing	vv0
,	y
"	"
people	nn
who	pnqs
we	ppis2
know	vvd
would	vm
please	vvi
american	nn2
"	"
into	ii
job	nn2
at	ii
united	np1
state	np1
 	nnu
 	nn1_vv0_jj
occasionally	rr
,	y
the	at
memory	nn2
of	io
the	at
old	jj
combatant	nn2
be	vbdr
jog	vvn
by	ii
visit	vvg_jj
american	jj
reporter	nn2
.	y
a	zz1_at1
1965	mc
attack	vv0_nn1
on	ii
the	at
united	np1
state	np1
embassy	nn1
leave	vvd_vvn
"	"
no	at
civilian	jj_nn1
casualty	nn2
,	y
"	"
a	at1
vietnamese	jj
officer	nn1
 	nnu
 	vv0_nn1
"	"
i	ppis1
be	vbdz
there	rl
and	cc
i	ppis1
see	vvd
them	ppho2
-	-
vietnamese	jj
casualty	nn2
in	ii
the	at
street	nn1
,	y
in	ii
the	at
cafe	nn1
,	y
"	"
a	at1
reporter	nn1
 	nnu
 	nn1_vv0_jj
a	zz1_at1@
vietnamese	jj
officer	nn1
reply	vvd
that	cst_dd1
,	y
"	"
bullet	nn2
have	vh0
no	at
eye	nn2
"	"
and	cc
suggest	vvd_vvn
that	cst
the	at
vietnamese	jj
victim	nn2
may	vm
have	vhi
be	vbn
shoot	vvn
by	ii
embassy	nn1
 	nnu
//	nn1
ask	vvd
what	ddq
opinion	nn1
they	pphs2
have	vhd
form	vvn
of	io
the	at
american	jj
fight	nn1
man	nn1
,	y
a	at1
vietnamese	jj
officer	nn1
say	vvd
:	y
"	"
the	at
soldier	nn1
have	vhz
a	at1
rifle	nn1
.	y
but	ccb
more	rgr
important	jj
than	csn
have	vhg
the	at
rifle	nn1
in	ii
his	appge
hand	nn2
be	vbz
what	ddq
do	vdz
he	pphs1
think	vvi
about	ii
the	at
war	nn1
in	ii
his	appge
 	nnu
"	"
 	nn1_vv0
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
//	vv0_jj_nn1
many	da2
resident	nn2
be	vbdr
neither	rr
revolutionary	nn2
nor	cc
people	nn
directly	rr
associate	vvn
with	iw
the	at
saigon	np1
government	nn1
.	y
among	ii
them	ppho2
be	vbdr
man	nn2
and	cc
woman	nn2
with	iw
american	jj
connection	nn2
and	cc
american	jj
friend	nn2
who	pnqs
in	ii
the	at
final	jj_nn1
moment	nn2
opt	vvn_vvd
to	to
stay	vvi
in	ii
 	np1
 	vv0_nn1
"	"
i	ppis1
sit	vvd
up	rp
all	db
night	nnt1
for	if
the	at
first	md
time	nnt1
in	ii
my	appge
life	nn1
,	y
"	"
a	at1
middle-aged	jj
man	nn1
say	vvd
.	y
"	"
and	cc
i	ppis1
make	vvd
the	at
decision	nn1
to	to
remain	vvi
here	rl
.	y
you	ppy
ask	vv0
,	y
'	"@
why	rrq
do	vdd
i	ppis1
stay	vvi
?	y
'	"@_ge
i	ppis1
answer	vv0
with	iw
another	dd1
question	nn1
:	y
'	"@
why	rrq
should	vm
i	ppis1
leave	vvi
?	y
'	ge_"@
"	"
 	nn1_vv0
the	at
man	nn1
,	y
who	pnqs
say	vvd
he	pphs1
have	vhd
work	vvn
for	if
american	jj
civilian	nn2
with	iw
no	at
connection	nn1
to	ii
washington	np1
or	cc
to	ii
the	at
saigon	np1
government	nn1
,	y
say	vvd
he	pphs1
understand	vvd
those	dd2
who	pnqs
seek	vvd
to	to
hasten	vvi
the	at
south	nd1
'	"@_ge
s	zz1
collapse	nn1_vv0@
,	y
believe	vvg
it	pph1
to	to
be	vbi
a	at1
regime	nn1
devoid	jj
of	io
purpose	nn1
,	y
lack	vvg
in	ii
discipline	nn1
and	cc
public	jj_nn1
morality	nn1
.	y
he	pphs1
be	vbdz
willing	jj
to	to
give	vvi
the	at
other	jj
side	nn1
a	at1
chance	nn1
.	y
 	null
 	null
'	"@_ge
i	ppis1
have	vhd
skill	nn2
they	pphs2
need	vvd_jj@
'	ge
//	nn1_jj
but	ccb
now	rt
,	y
he	pphs1
say	vvd
,	y
he	pphs1
and	cc
other	nn2
like	ii_vv0@
him	ppho1
,	y
while	cs
not	xx
want	vvg_jj
to	to
leave	vvi
,	y
have	vh0
be	vbn
haunt	vvn
by	ii
their	appge
decision	nn1
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
feel	vv0
they	pphs2
be	vbr
no	rr21
long	rr22
make	vvg
use	nn1
of	io
their	appge
own	da
potential	nn1
or	cc
contribute	vvg
to	ii
the	at
 	nnu
//	vv0_nn1_jj
"	"
they	pphs2
could	vm
have	vhi
use	vvn
me	ppio1
,	y
"	"
the	at
man	nn1
,	y
a	at1
writer	nn1
,	y
say	vvd
.	y
